food,caloric_value,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,nutrition_density,health_score,health_score_norm,health_level
brie cheese,100,8.3,5.2,2.4,0.2,0.1,0.1,6.2,0.0,30.0,0.2,70.096,-1.601999999999999,67.02766992618157,1
pimento cheese,525,43.7,27.5,12.5,1.4,2.4,0.9,31.0,0.1,131.6,2.0,940.9,-11.435999999999995,66.53664557568786,1
mexican cheese,316,21.7,13.0,5.6,0.8,3.8,0.6,27.7,0.0,69.4,0.9,1337.0,13.646999999999993,67.78907223660244,1
feta cheese,80,6.4,4.0,1.4,0.2,1.2,0.0,4.3,0.0,26.7,0.3,160.058,-1.8200000000000007,67.01678490397214,1
mozzarella cheese fat free,159,0.0,0.0,0.0,0.0,4.0,1.7,35.8,2.0,20.3,0.8,1128.2,54.08899999999999,69.80839365033714,1
provolone cheese,463,35.1,22.5,9.8,1.0,2.8,0.7,33.8,0.0,91.1,1.2,1070.6,3.3769999999999976,67.27627784168983,1
anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1,28.3,0.0,138.6,1.5,972.205,-21.351,66.04157679033649,1
honey,64,0.0,0.0,0.0,0.0,17.3,17.2,0.08,0.025,0.0,0.011,18.892,-34.230109999999996,65.39850615552999,1
apple butter,35,0.063,0.038,0.066,0.064,8.5,7.1,0.045,0.3,0.0,0.003,11.836,-13.60853,66.42816834036365,1
fruit jam,56,0.095,0.021,0.065,0.0,13.8,9.7,0.0,0.2,0.0,0.052,19.919,-19.042520000000003,66.15684218515324,1
chocolate hazelnut spread,100,5.5,5.3,0.0,0.0,11.5,10.0,1.0,1.0,0.0,0.099,39.8,-27.100990000000003,65.75447234605184,1
peanut butter,88,7.4,1.4,3.1,1.7,3.6,1.0,3.3,0.9,0.0,0.085,15.268,1.9491499999999993,67.20498344278273,1
peanut spread,101,8.5,1.6,4.2,2.5,2.2,0.5,3.8,1.2,0.0,0.028,27.3,3.8997199999999994,67.30237792797111,1
chicken spread,88,9.8,1.8,2.7,1.3,2.3,0.3,10.1,0.2,31.4,0.4,31.972,11.032,67.65850190138369,1
cheese spread,708,68.6,43.2,19.4,2.5,8.4,8.4,17.0,0.0,216.0,1.2,267.8,-79.872,63.11954750263637,1
tahini,86,7.2,1.0,2.7,3.2,3.9,0.0,2.7,1.4,0.0,0.098,78.6,4.84902,67.34977770587672,1
orange marmalade,49,0.0,0.0,0.0,0.0,13.3,12.0,0.014,0.1,0.0,0.016,22.119,-23.77916,65.92033561818937,1
american cheese spread,46,3.4,2.1,1.0,0.062,1.4,1.2,2.6,0.0,8.8,0.3,97.357,-2.791,66.96830161697504,1
apricot jam,48,0.01,0.042,0.0,0.0,12.9,8.7,0.1,0.044,0.0,0.004,18.91,-17.246039999999997,66.24654275716614,1
chunky peanut butter,94,8.0,1.2,3.7,2.2,3.5,1.3,3.8,1.3,0.0,0.03,24.1,3.299699999999999,67.272418152622,1
ham and cheese spread,37,2.8,1.3,1.1,0.2,0.3,0.0,2.4,0.0,9.2,0.2,38.238,0.9059999999999996,67.15289761288467,1
chicken and rice casserole homade,27,1.0,0.0,0.0,0.0,2.4,0.0,2.0,0.3,0.0,0.0,5.7,3.6,67.28741252037197,1
picnic loaf,65,4.7,1.7,2.2,0.5,1.3,0.0,4.2,0.0,10.6,0.3,23.7,2.791000000000001,67.24701810309016,1
corn tamale,309,12.0,4.4,4.0,2.6,44.3,12.3,5.8,5.3,0.0,0.5,108.1,-14.105000000000006,66.40337895056403,1
baked potato with cheese sauce bacon,451,25.9,10.1,9.7,4.8,44.4,0.0,18.4,0.0,29.9,1.0,428.7,7.090999999999998,67.46172266960662,1
chinese egg roll,223,10.6,1.9,2.7,5.0,24.3,0.0,7.4,2.3,14.2,0.4,81.5,11.754000000000003,67.69455229604064,1
butter croissant,231,12.0,6.6,3.1,0.6,26.1,6.4,4.7,1.5,38.2,0.2,66.8,-16.334,66.29208209503723,1
enchilada with cheese beef,323,17.6,9.0,6.1,1.4,30.5,0.0,11.9,0.0,40.3,1.3,292.933,-0.5659999999999985,67.07939874732368,1
corned beef hash with potatoes,387,24.2,10.2,12.4,0.7,21.9,0.8,20.6,2.6,75.5,1.0,118.6,13.335,67.77349367270637,1
biscuit with egg cheese bacon,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,230.2,2.2809999999999997,67.22155314287541,1
bagel with ham egg cheese,483,18.5,7.9,5.7,3.3,52.4,7.0,26.7,0.4,242.6,1.3,287.6,8.610999999999994,67.53761823730548,1
quesadilla with chicken,529,27.5,11.1,6.8,7.4,43.3,3.4,27.1,3.1,66.6,1.3,588.7,17.17100000000001,67.96503011855687,1
corn rice,110,0.3,0.02,0.0,0.1,25.2,3.0,1.8,0.4,0.0,0.2,51.9,-2.542,66.98073450931518,1
kung pao chicken,779,42.2,8.2,13.1,18.2,41.5,18.3,59.0,9.1,157.0,2.4,320.1,52.105999999999995,69.70937989326687,1
beef empanada,298,16.3,4.6,6.3,3.8,27.8,1.6,10.1,1.8,23.1,0.4,76.2,6.115000000000002,67.41298972613684,1
frijoles with cheese,225,7.8,4.1,2.6,0.7,28.7,0.0,11.4,0.0,36.7,0.9,240.305,8.524000000000001,67.53327421468059,1
burrito with beef,285,8.1,1.7,1.7,4.0,43.9,4.1,9.1,4.4,2.6,0.5,65.89,10.818999999999999,67.64786653564695,1
crispy chicken sandwich,350,17.6,3.3,4.0,8.4,33.2,3.9,14.8,0.0,0.0,0.7,114.1,7.793000000000003,67.4967744383728,1
enchilada with cheese,374,25.3,11.5,6.4,3.8,21.2,3.6,15.4,2.6,57.5,0.7,65.6,-2.4819999999999984,66.9837303869875,1
pork egg roll,189,6.1,1.3,2.0,2.1,25.1,4.5,8.4,1.8,11.9,0.3,96.5,4.478000000000003,67.33125219697696,1
corn on the cob with butter,155,3.4,1.6,1.0,0.6,31.9,0.0,4.5,0.0,5.8,0.056,52.078,3.49144,67.28199197903685,1
pancakes with butter syrup,260,7.0,2.9,2.6,1.0,45.4,0.0,4.1,0.0,29.0,0.6,123.319,0.05399999999999966,67.11035614993769,1
burrito with beans,224,6.7,3.4,2.4,0.6,35.7,0.0,7.0,0.0,2.2,0.5,109.1,3.6730000000000005,67.2910575048733,1
scrambled eggs,100,7.6,2.9,2.8,0.9,1.0,0.8,6.5,0.0,200.2,0.1,44.726,0.34700000000000086,67.12498601923753,1
baked potato with sour cream,393,22.3,10.0,7.9,3.3,50.0,0.0,6.7,0.0,24.2,0.2,221.8,-10.193999999999999,66.59866024350494,1
turkey and gravy,161,6.3,2.0,2.3,1.1,11.1,0.0,14.1,0.0,43.2,1.3,67.374,16.705,67.94176213530181,1
chicken egg roll,158,3.6,0.8,1.1,1.5,22.8,4.5,8.4,1.9,11.2,0.4,84.75,5.684000000000003,67.39146933819065,1
vegetable egg roll,153,3.6,0.6,1.0,1.7,25.0,5.3,5.2,2.2,0.0,0.4,84.1,0.39600000000000146,67.12743265266992,1
ham cheese roll,67,5.2,2.0,2.4,0.6,1.1,0.0,3.8,0.0,16.2,0.3,26.6,1.5349999999999995,67.18430439714953,1
biscuit with ham,386,18.4,11.4,4.8,1.0,43.8,2.2,13.4,0.8,24.9,1.1,239.732,-5.759999999999996,66.8200556034896,1
lemon chicken,1440,74.9,12.2,16.4,36.7,122.0,55.2,68.6,7.0,203.8,1.5,545.212,-19.953000000000014,66.11138074010162,1
hummus,435,21.1,2.8,12.0,5.2,49.5,0.7,12.0,9.8,0.0,0.6,236.1,30.594,68.63525788515004,1
croissant with egg cheese,368,24.7,14.1,7.5,1.4,24.3,0.0,12.8,0.0,215.9,0.6,307.9,-11.164999999999997,66.55017695650784,1
enchirito with cheese beef beans,344,16.1,7.9,6.5,0.3,33.8,0.0,17.9,0.0,50.2,1.3,292.984,10.534999999999997,67.63368604799797,1
sweet sour pork,38,2.2,0.4,0.5,1.0,3.3,1.4,1.2,0.1,3.4,0.003,13.977,-1.63403,67.0260706268175,1
crab cake,160,10.4,2.2,4.3,3.1,5.1,0.0,11.3,0.2,82.2,0.5,230.596,12.123000000000001,67.71297694372544,1
egg dinner roll,107,2.2,0.6,1.0,0.4,18.2,1.5,3.3,1.3,17.5,0.2,46.913,3.172999999999999,67.26609185760394,1
english muffin with egg cheese sausage,472,29.9,11.4,11.2,4.6,28.8,2.5,22.1,0.3,269.0,0.8,362.7,3.2520000000000064,67.27003642987249,1
buttermilk pancakes,86,3.5,0.7,0.9,1.7,10.9,0.0,2.6,0.0,22.0,0.2,77.568,2.2780000000000005,67.2214033489918,1
omelet,94,7.1,2.0,3.0,1.7,0.4,0.2,6.4,0.0,190.9,0.013,14.377,3.290870000000001,67.27197725929122,1
taco with chicken cheese lettuce,185,6.2,2.5,1.6,1.6,19.3,1.3,13.0,1.2,28.4,0.6,161.153,14.009999999999996,67.80719729651999,1
spinach souffle,230,17.6,10.1,5.0,1.0,8.0,2.5,10.7,1.0,160.5,0.8,273.4,-8.763000000000002,66.67011192598984,1
english muffin with cheese sausage,365,22.3,8.8,8.5,3.4,27.3,2.1,14.3,0.5,46.4,0.7,294.696,0.17900000000000216,67.11659756175503,1
potato gratin,328,18.6,11.6,5.3,0.7,27.6,0.0,12.4,4.4,56.4,1.1,380.7,3.6250000000000027,67.28866080273544,1
biscuit with egg,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,230.3,2.2809999999999997,67.22155314287541,1
french fries deep fried,222,10.5,1.7,4.2,3.8,29.4,0.2,2.4,2.7,0.0,0.1,45.364,5.198999999999999,67.36725266033939,1
sweet sour chicken,46,2.3,0.4,0.5,1.2,4.4,2.1,1.8,0.2,4.9,0.043,17.773,-1.94943,67.01032229652,1
burrito with beans beef,460,18.0,7.0,7.8,1.4,47.0,5.3,27.8,7.2,62.7,1.4,326.183,30.859,68.6484896782028,1
nachos with cinnamon sugar,592,36.0,18.2,11.8,4.1,63.4,0.0,7.2,0.0,39.2,0.4,202.5,-25.996,65.80964592720416,1
arroz con grandules,209,5.7,0.9,1.2,2.7,35.4,0.0,4.0,1.6,0.0,0.7,56.2,7.393,67.47680192055732,1
chili con carne,271,8.8,3.2,3.6,1.0,33.1,4.7,14.7,8.3,22.8,1.1,66.245,22.611,68.23665636084748,1
arroz con abichuelas,223,5.4,0.8,1.1,2.5,37.3,0.2,6.2,4.1,0.0,0.6,78.5,15.494000000000002,67.88129533761544,1
biscuit with sausage,412,27.1,8.2,13.5,3.4,33.3,1.8,10.7,0.4,31.1,0.9,125.8,-3.47,66.93439826798325,1
vegetarian stew,304,7.4,1.2,1.8,3.8,17.3,3.1,42.0,2.7,0.0,1.0,149.2,59.790000000000006,70.09305196050235,1
chicken sandwich with cheese,632,38.8,12.4,13.7,9.9,41.6,0.0,29.4,0.0,77.5,1.2,374.2,18.512999999999995,68.03203791582781,1
biscuit with egg steak,410,28.4,8.6,11.7,5.8,21.3,0.0,17.9,0.0,272.3,0.9,210.8,6.9179999999999975,67.45308455565142,1
taco salad,212,11.2,5.2,3.9,1.3,17.9,0.0,10.0,0.0,33.0,0.6,189.0,4.263999999999999,67.32056689994566,1
succotash,213,1.5,0.3,0.3,0.7,46.8,0.0,9.7,0.0,0.0,0.5,109.2,13.944999999999999,67.80395176237496,1
nachos with cheese jalapeno peppers,608,34.1,14.0,14.4,4.0,60.1,0.0,16.8,0.0,83.6,1.7,735.0,-3.652999999999997,66.92526084108266,1
biscuit with egg ham,442,27.0,5.9,11.0,7.7,31.4,4.2,20.4,0.8,299.5,1.4,305.1,8.990999999999996,67.55659212923018,1
ladyfingers,103,2.6,0.9,1.1,0.4,16.9,7.2,3.0,0.3,62.5,0.016,38.1,-11.72516,66.52220744255905,1
mozzarella steak fried,102,5.9,2.2,1.5,1.6,7.7,0.7,4.6,0.6,10.2,0.2,126.963,2.1959999999999993,67.21730898283961,1
tamale navajo,285,11.4,4.5,5.1,1.3,33.7,1.8,11.7,5.8,31.6,0.8,122.0,16.226,67.91784504521779,1
blueberry pancakes,84,3.5,0.8,0.9,1.6,11.0,0.0,2.3,0.0,21.3,0.2,96.631,1.6349999999999996,67.1892975266034,1
chimichanga with beef cheese,443,23.4,11.2,9.4,0.7,39.3,0.0,20.1,0.0,51.2,1.0,327.3,7.228000000000003,67.46856325695842,1
egg cheese sandwich,340,19.4,6.6,8.3,2.6,25.9,0.0,15.6,0.0,290.5,0.8,290.4,7.287,67.47150920333621,1
biscuit with egg bacon,458,31.1,8.0,13.4,7.5,28.6,3.3,17.0,0.8,352.5,1.3,272.958,0.9620000000000002,67.15569376537884,1
pupusas con queso,300,15.5,7.6,4.0,1.8,26.2,1.4,13.7,3.4,37.4,0.5,439.9,8.970999999999997,67.55559350333941,1
apple croissant,145,5.0,2.8,1.4,0.4,21.1,0.0,4.2,1.4,17.7,0.2,49.733,3.321000000000002,67.27348168919566,1
refried red beans,336,16.1,2.2,3.9,10.2,36.0,0.0,11.7,11.0,0.0,0.9,156.2,35.141,68.86229548141758,1
tostada with guacamole,180,11.6,4.9,4.2,1.5,16.0,0.0,6.2,0.0,19.6,0.4,247.853,-0.7,67.0727079538555,1
chicken sandwich,468,20.9,4.0,8.4,5.9,39.1,6.8,30.4,2.6,65.5,1.4,94.051,28.530999999999995,68.53224962451667,1
fried rice,228,3.2,0.7,0.8,1.3,43.4,0.6,6.5,1.5,32.2,0.6,75.203,9.822000000000001,67.59808503499185,1
pupusas del cerdo,283,12.7,3.9,4.8,2.7,28.1,1.8,14.0,3.2,35.4,0.5,119.087,15.640999999999996,67.88863523791264,1
turkey pot pie,699,34.9,11.4,13.7,5.5,70.3,0.0,25.8,4.4,63.5,1.4,139.4,24.051,68.30855742498322,1
