food,caloric_value,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,nutrition_density
black walnut dried,31,3.0,0.2,0.8,1.8,0.5,0.018,1.2,0.3,0.0,0.028,8.347
water chestnut canned,70,0.015,0.05,0.068,0.053,17.2,3.4,1.2,3.5,0.0,0.011,30.594
ginkgo nuts dried,98,0.6,0.1,0.2,0.2,20.5,0.0,2.9,0.0,0.0,0.045,38.5
virginia peanuts raw,822,71.2,9.3,36.9,21.5,24.1,5.8,36.8,12.4,0.0,0.008,278.1
valencia peanuts roasted,177,15.4,2.4,6.9,5.3,4.9,0.0,8.1,2.7,0.0,0.004,47.8
nesfit diet cereal nestle,75,0.0,14.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corn grits cooked,182,1.2,0.2,0.2,0.4,37.9,0.3,4.4,2.1,0.0,0.6,49.7
amaranth flakes,134,2.7,0.5,0.8,1.0,27.0,0.2,5.9,3.6,0.0,0.067,47.4
granola,293,14.6,2.4,6.6,4.7,32.3,11.9,8.2,5.3,0.0,0.01,109.142
muesli with fruit nuts,231,3.4,0.5,1.2,1.4,45.7,14.2,4.3,5.8,0.0,0.1,91.1
muesli master crumble,124,2.4,1.0,19.8,8.5,4.5,0.042,2.4,0.0,0.0,0.0,9.3
bran flakes,131,0.8,0.2,0.1,0.5,32.2,7.4,4.0,7.3,0.0,0.2,45.358
nut cereal,245,5.9,1.0,3.9,0.5,46.2,17.2,4.0,3.6,0.0,0.3,156.5
corn flakes,108,0.3,0.098,0.071,0.018,24.6,2.2,1.7,0.8,0.0,0.2,27.947
corn grits dry,36,0.2,0.022,0.018,0.032,7.7,0.008,0.7,0.4,0.0,0.054,9.7
margarine with yoghurt,88,9.8,1.9,5.6,2.0,0.073,0.0,0.058,0.0,0.0,0.018,12.971
sunflower seed butter,99,8.8,0.7,6.2,1.6,3.7,1.7,2.8,0.9,0.0,0.065,27.5
hazelnut oil,120,13.6,1.0,10.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,13.6
menhaden fish oil,1966,218.0,66.3,58.2,74.5,0.0,0.0,0.0,0.0,1135.8,0.0,218.0
cod liver fish oil,123,13.6,3.1,6.4,3.1,0.0,0.0,0.0,0.0,77.5,0.0,17.7
sardine oil,123,13.6,4.1,4.6,4.3,0.0,0.0,0.0,0.0,96.6,0.0,13.6
cupu assu oil,120,13.6,7.2,5.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,13.6
lard,115,12.8,5.0,5.8,1.4,0.0,0.0,0.0,0.0,12.2,0.0,12.8
sesame butter,94,8.1,1.1,3.1,3.6,3.8,0.0,2.9,0.9,0.0,0.031,172.4
margarine spread,59,6.7,1.2,2.3,2.8,0.1,0.0,0.082,0.0,0.1,0.019,7.547
lard vegetable oil,115,12.8,5.2,5.7,1.4,0.0,0.0,0.0,0.0,7.2,0.0,12.8
shortening,113,12.8,3.2,5.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,12.8
vegetable oil spread,75,8.4,1.7,2.7,3.7,0.1,0.0,0.007,0.0,0.1,0.081,11.613
cottonseed oil,120,13.6,3.5,2.4,7.1,0.0,0.0,0.0,0.0,0.0,0.0,13.6
vegetable oil spread fat free,6,0.5,0.015,0.1,0.3,0.4,0.0,0.2,0.0,0.2,0.1,7.001
